,SUBID_A,SUBID_B
1220,9556708,9535268
1221,9556713,9535268
1222,9556728,9535268
1223,9556740,9535268
1224,9556741,9535268
1225,9556754,9535268
1226,9556864,9535268
1227,9556955,9535268
1228,9557004,9535268
1229,9557101,9535268
1230,9557108,9535268
1231,9562826,9535268
1232,9562842,9535268
1233,9562851,9535268
1234,9562856,9535268
1235,9562860,9535268
1236,9562871,9535268
1237,9562897,9535268
1238,9562901,9535268
1239,9562902,9535268
1240,9562904,9535268
1241,9562908,9535268
1242,9562917,9535268
1243,9562934,9535268
1244,9562943,9535268
1245,9562945,9535268
1246,9562950,9535268
1247,9562986,9535268
1248,9563001,9535268
1249,9563019,9535268
1250,9563025,9535268
1251,9563040,9535268
1252,9563046,9535268
1253,9563049,9535268
1254,9563065,9535268
1255,9563071,9535268
1256,9563075,9535268
1257,9563101,9535268
1258,9563111,9535268
1259,9563122,9535268
1260,9563123,9535268
1261,9563126,9535268
1262,9563146,9535268
1263,9563158,9535268
1264,9563162,9535268
1265,9563167,9535268
1266,9563180,9535268
1267,9563192,9535268
1268,9563210,9535268
1269,9563216,9535268
1270,9563218,9535268
1271,9563221,9535268
1272,9563225,9535268
1273,9563239,9535268
1274,9563244,9535268
1275,9563266,9535268
1276,9563272,9535268
1277,9563280,9535268
1278,9563288,9535268
1279,9563300,9535268
1280,9563302,9535268
1281,9563307,9535268
1282,9563321,9535268
1283,9563326,9535268
1284,9563332,9535268
1285,9563334,9535268
1286,9563345,9535268
1287,9563354,9535268
1288,9500098,9535272
1289,9535229,9535272
1290,9535266,9535272
1291,9535640,9535272
1292,9500137,9535378
1293,9500145,9535378
1294,9500179,9535378
1295,9500191,9535378
1296,9500212,9535378
1297,9500466,9535378
1298,9500470,9535378
1299,9500704,9535378
1300,9500872,9535378
1301,9500877,9535378
1302,9500902,9535378
1303,9500904,9535378
1304,9500914,9535378
1305,9500916,9535378
1306,9501257,9535378
1307,9501431,9535378
1308,9521760,9535378
1309,9521852,9535378
1310,9521868,9535378
1311,9521943,9535378
1312,9521989,9535378
1313,9522105,9535378
1314,9522125,9535378
1315,9522154,9535378
1316,9522258,9535378
1317,9535267,9535378
1318,9535295,9535378
1319,9535354,9535378
1320,9535498,9535378
1321,9535532,9535378
1322,9535729,9535378
1323,9535800,9535378
1324,9535836,9535378
1325,9535841,9535378
1326,9556306,9535378
1327,9556308,9535378
1328,9556345,9535378
1329,9556360,9535378
1330,9556371,9535378
1331,9556390,9535378
1332,9556397,9535378
1333,9556402,9535378
1334,9556413,9535378
1335,9556427,9535378
1336,9556439,9535378
1337,9556449,9535378
1338,9556463,9535378
1339,9556478,9535378
1340,9556479,9535378
1341,9556480,9535378
1342,9556483,9535378
1343,9556492,9535378
1344,9556512,9535378
1345,9556534,9535378
1346,9556545,9535378
1347,9556546,9535378
1348,9556558,9535378
1349,9556562,9535378
1350,9556569,9535378
1351,9556584,9535378
1352,9556586,9535378
1353,9556594,9535378
